sn,phase,peak
451,1750,-312
452,1765,296
453,1780,-512
454,1797,-512
455,1812,-512
456,1828,-512
457,1844,-512
458,1859,-512
459,1876,446
460,1891,372
461,1918,-372
462,1947,-291
463,9,241
464,30,-273
465,51,247
466,81,320
467,107,236
468,124,265
469,158,208
470,177,237
471,196,-237
472,222,270
473,255,-512
474,292,232
475,390,-331
476,454,223
477,497,409
478,518,206
479,626,239
480,693,249
481,715,396
482,733,-512
483,759,321
484,776,-376
485,793,272
486,810,-512
487,835,-512
488,858,-286
489,874,455
490,889,281
491,905,-512
492,921,-469
493,937,-512
494,953,-318
495,968,-296
496,984,-205
497,999,266
498,1014,222
499,1040,-203
500,1057,221
501,1073,209
502,1093,-208
503,1105,224
504,1120,221
505,1136,223
506,1155,220
507,1167,-221
508,1182,-221
509,1198,237
510,1215,227
511,1231,216
512,1247,296
513,1261,202
514,1280,212
515,1298,206
516,1311,246
517,1328,231
518,1345,251
519,1360,210
520,1376,-260
521,1390,231
522,1408,-293
523,1423,-512
524,1437,-512
525,1453,237
526,1478,-333
527,1507,357
528,1532,-297
529,1555,-512
530,1576,-235
531,1601,-512
532,1616,-512
533,1635,-205
534,1648,436
535,1665,-512
536,1678,-238
537,1694,-208
538,1708,421
539,1724,-512
540,1740,-257
541,1755,-387
542,1770,-380
543,1786,-295
544,1806,331
545,1819,377
546,1836,-366
547,1849,-512
548,1865,297
549,1881,277
550,1896,249
551,1913,-243
552,1926,-302
553,1943,-410
554,3,227
555,19,-266
556,35,212
557,52,-218
558,68,264
559,90,-235
560,106,244
561,121,253
562,137,-242
563,152,-243
564,167,223
565,185,231
566,199,-216
567,216,263
568,230,305
569,246,223
570,261,263
571,279,-208
572,293,226
573,309,212
574,323,-213
575,340,240
576,355,-278
577,373,251
578,390,-259
579,403,223
580,417,482
581,432,-257
582,447,300
583,467,211
584,483,-366
585,499,319
586,524,205
587,538,-367
588,553,-217
589,568,282
590,583,-427
591,600,-316
592,618,233
593,632,-363
594,647,-296
595,664,263
596,679,-221
597,696,225
598,709,-512
599,724,221
600,742,248
601,757,-512
602,774,-512
603,789,-303
604,806,-309
605,820,-512
606,839,-512
607,853,261
608,867,-512
609,883,-512
610,899,-512
611,915,-512
612,931,-512
613,945,-332
614,961,-512
615,978,-270
616,992,-247
617,1015,-229
618,1029,-214
619,1044,255
620,1067,224
621,1081,-229
622,1098,232
623,1111,231
624,1129,216
625,1142,-292
626,1157,208
627,1174,229
628,1200,-219
629,1228,247
630,1243,-211
631,1264,211
632,1287,228
633,1310,239
634,1334,242
635,1356,213
636,1393,-230
637,1419,-512
638,1452,314
639,1484,-512
640,1523,-512
641,1647,262
642,1687,-512
643,1725,310
644,1747,357
645,1859,-512
646,1936,349
647,4,217
648,23,279
649,42,223
650,59,-218
651,81,-204
652,98,-252
653,116,-237
654,133,262
655,151,216
656,168,225
657,187,-219
658,204,-258
659,223,225
660,244,-208
661,261,-207
662,280,-207
663,301,215
664,315,223
665,333,211
666,352,238
667,370,253
668,388,-232
669,404,-215
670,423,-262
671,444,219
672,458,299
673,475,-239
674,493,262
675,509,349
676,527,-394
677,544,368
678,560,-202
679,582,-392
680,595,292
681,613,-358
682,630,-294
683,648,-262
684,670,-213
685,684,-313
686,700,-512
687,734,-266
688,749,-235
689,765,-512
690,782,-336
691,800,-512
692,824,-412
693,840,-512
694,857,-512
695,872,-308
696,887,-512
697,904,-265
698,921,-261
699,935,320
700,951,-512
701,965,254
702,981,322
703,996,208
704,1015,-233
705,1028,231
706,1044,260
707,1062,-237
708,1077,243
709,1092,279
710,1107,-241
711,1125,265
712,1137,223
713,1153,-225
714,1169,217
715,1184,229
716,1200,-216
717,1216,244
718,1231,264
719,1247,272
720,1263,-202
721,1280,221
722,1295,-259
723,1312,211
724,1327,-205
725,1346,211
726,1358,243
727,1373,348
728,1388,234
729,1406,270
730,1420,325
731,1435,-247
732,1450,-512
733,1468,-512
734,1484,257
735,1502,-264
736,1525,203
737,1541,-512
738,1556,-512
739,1572,263
740,1588,-512
741,1603,377
742,1620,208
743,1641,-225
744,1659,-512
745,1675,-296
746,1692,396
747,1705,-512
748,1723,-512
749,1737,-512
750,1753,-512
751,1771,-512
752,1785,-512
753,1803,446
754,1818,239
755,1834,233
756,1849,-512
757,1866,-512
