sn,phase,peak
1867,252,-205
1868,268,240
1869,286,234
1870,302,206
1871,319,-204
1872,335,-236
1873,351,221
1874,367,229
1875,382,-270
1876,397,-231
1877,412,-245
1878,429,-326
1879,442,288
1880,460,221
1881,473,-220
1882,488,464
1883,504,287
1884,519,308
1885,535,-406
1886,559,420
1887,578,416
1888,597,-244
1889,623,-350
1890,641,-280
1891,661,262
1892,677,435
1893,697,-512
1894,718,-367
1895,736,-512
1896,759,297
1897,790,-292
1898,807,-512
1899,831,-512
1900,865,-275
1901,895,-254
1902,928,-512
1903,1053,293
1904,1126,287
1905,1204,304
1906,1257,219
1907,1295,206
1908,1324,208
1909,1360,237
1910,1395,-279
1911,1451,-310
1912,1567,-512
1913,1600,-349
1914,1639,303
1915,1667,229
1916,1684,-344
1917,1702,-215
1918,1719,355
1919,1737,-236
1920,1753,231
1921,1771,-298
1922,1788,-272
1923,1807,277
1924,1825,-512
1925,1850,-512
1926,1866,-512
1927,1883,-215
1928,1897,256
1929,1913,215
1930,1928,-331
1931,1943,228
1932,7,-258
1933,20,222
1934,38,-225
1935,54,293
1936,71,239
1937,90,241
1938,105,-297
1939,121,226
1940,150,251
1941,181,282
1942,203,243
1943,226,-215
1944,253,207
1945,270,249
1946,286,254
1947,302,222
1948,317,206
1949,332,236
1950,347,250
1951,363,216
1952,382,-231
1953,396,312
1954,412,412
1955,429,-344
1956,442,245
1957,462,229
1958,475,-219
1959,490,-263
1960,505,-202
1961,520,-361
1962,535,-348
1963,553,247
1964,566,460
1965,582,-371
1966,596,354
1967,612,-454
1968,629,449
1969,643,234
1970,659,-312
1971,674,216
1972,691,-311
1973,704,-370
1974,722,301
1975,735,1536
1976,789,-512
1977,834,1536
1978,857,-336
1979,880,-512
1980,904,291
1981,922,-201
1982,941,-207
1983,958,-273
1984,975,263
1985,989,242
1986,1004,231
1987,1025,-221
1988,1041,-217
1989,1061,219
1990,1077,240
1991,1092,212
1992,1107,-221
1993,1122,245
1994,1138,282
1995,1153,218
1996,1174,240
1997,1195,245
1998,1214,-201
1999,1229,215
